datetime,open,high,low,close,volume,symbol
2025-01-09 11:45:00,4076.2,4082.0,4075.05,4077.55,40371,TCS
2025-01-09 12:00:00,4077.35,4091.45,4072.65,4075.65,96025,TCS
2025-01-09 12:15:00,4075.65,4086.0,4071.35,4071.35,73405,TCS
2025-01-09 12:30:00,4071.2,4077.6,4063.0,4067.95,67005,TCS
2025-01-09 12:45:00,4067.05,4077.0,4065.0,4073.65,60608,TCS
2025-01-09 13:00:00,4073.65,4075.6,4029.5,4041.8,111294,TCS
2025-01-09 13:15:00,4041.8,4043.75,4032.95,4039.3,54754,TCS
2025-01-09 13:30:00,4038.3,4045.55,4030.55,4033.15,65805,TCS
2025-01-09 13:45:00,4033.15,4047.55,4031.1,4041.2,55917,TCS
2025-01-09 14:00:00,4040.95,4055.0,4037.05,4052.15,80211,TCS
2025-01-09 14:15:00,4052.35,4061.2,4051.2,4055.75,61194,TCS
2025-01-09 14:30:00,4055.8,4057.0,4041.7,4048.55,89233,TCS
2025-01-09 14:45:00,4048.75,4060.0,4046.0,4052.05,140963,TCS
2025-01-09 15:00:00,4052.05,4061.0,4027.55,4038.5,232367,TCS
2025-01-09 15:15:00,4038.5,4047.5,4025.3,4044.0,158197,TCS
2025-01-10 09:15:00,4200.0,4225.0,4174.4,4213.9,1408411,TCS
2025-01-10 09:30:00,4212.25,4214.6,4170.0,4202.45,618907,TCS
2025-01-10 09:45:00,4203.5,4207.0,4188.1,4189.45,203062,TCS
2025-01-10 10:00:00,4188.75,4204.1,4182.75,4199.0,217910,TCS
2025-01-10 10:15:00,4199.35,4238.45,4199.25,4221.0,572260,TCS
2025-01-10 10:30:00,4221.9,4232.0,4205.0,4225.9,319063,TCS
2025-01-10 10:45:00,4225.65,4245.9,4222.5,4226.8,266280,TCS
2025-01-10 11:00:00,4226.45,4242.0,4224.3,4235.9,201356,TCS
2025-01-10 11:15:00,4235.9,4244.0,4230.5,4244.0,157643,TCS
2025-01-10 11:30:00,4243.3,4275.0,4242.85,4270.6,473522,TCS
2025-01-10 11:45:00,4270.6,4289.0,4268.65,4288.1,298924,TCS
2025-01-10 12:00:00,4288.05,4292.65,4272.0,4280.0,309415,TCS
2025-01-10 12:15:00,4280.0,4289.9,4271.55,4286.55,202134,TCS
2025-01-10 12:30:00,4286.75,4288.5,4274.0,4280.0,117918,TCS
2025-01-10 12:45:00,4281.0,4285.0,4279.0,4280.85,113216,TCS
2025-01-10 13:00:00,4280.6,4290.0,4277.0,4278.0,204064,TCS
2025-01-10 13:15:00,4277.8,4283.0,4270.1,4273.55,200672,TCS
2025-01-10 13:30:00,4273.55,4288.75,4267.2,4283.5,188320,TCS
2025-01-10 13:45:00,4283.5,4297.0,4281.15,4283.35,296656,TCS
2025-01-10 14:00:00,4283.4,4286.8,4274.25,4274.65,140435,TCS
2025-01-10 14:15:00,4274.5,4281.9,4273.45,4281.15,139751,TCS
2025-01-10 14:30:00,4280.45,4283.15,4268.0,4273.45,205320,TCS
2025-01-10 14:45:00,4273.55,4274.0,4260.0,4265.3,189553,TCS
2025-01-10 15:00:00,4265.5,4269.75,4260.15,4267.55,276707,TCS
2025-01-10 15:15:00,4267.55,4272.0,4258.0,4265.0,455147,TCS
2025-01-13 09:15:00,4245.0,4277.9,4227.4,4265.45,387332,TCS
2025-01-13 09:30:00,4265.75,4293.4,4258.55,4291.95,206960,TCS
2025-01-13 09:45:00,4291.9,4291.9,4275.25,4286.55,131677,TCS
2025-01-13 10:00:00,4286.75,4289.0,4266.6,4282.5,143603,TCS
2025-01-13 10:15:00,4283.8,4302.75,4281.3,4299.4,136859,TCS
2025-01-13 10:30:00,4298.0,4301.95,4282.5,4289.2,92059,TCS
2025-01-13 10:45:00,4289.15,4316.8,4287.1,4303.4,167804,TCS
