company_name,industry,symbol,Series,isin,index_code,scrape_date
ITC Hotels Ltd.,Consumer Services,ITCHOTELS,EQ,INE379A01028,NIFTYLARGEMIDCAP250,2026-02-03
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,NIFTYLARGEMIDCAP250,2026-02-03
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011,NIFTYLARGEMIDCAP250,2026-02-03
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029,NIFTYLARGEMIDCAP250,2026-02-03
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010,NIFTYLARGEMIDCAP250,2026-02-03
Indian Overseas Bank,Financial Services,IOB,EQ,INE565A01014,NIFTYLARGEMIDCAP250,2026-02-03
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020,NIFTYLARGEMIDCAP250,2026-02-03
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010,NIFTYLARGEMIDCAP250,2026-02-03
Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA,EQ,INE202E01016,NIFTYLARGEMIDCAP250,2026-02-03
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027,NIFTYLARGEMIDCAP250,2026-02-03
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017,NIFTYLARGEMIDCAP250,2026-02-03
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,NIFTYLARGEMIDCAP250,2026-02-03
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01032,NIFTYLARGEMIDCAP250,2026-02-03
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,NIFTYLARGEMIDCAP250,2026-02-03
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027,NIFTYLARGEMIDCAP250,2026-02-03
Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038,NIFTYLARGEMIDCAP250,2026-02-03
J.K. Cement Ltd.,Construction Materials,JKCEMENT,EQ,INE823G01014,NIFTYLARGEMIDCAP250,2026-02-03
JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018,NIFTYLARGEMIDCAP250,2026-02-03
JSW Infrastructure Ltd.,Services,JSWINFRA,EQ,INE880J01026,NIFTYLARGEMIDCAP250,2026-02-03
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,NIFTYLARGEMIDCAP250,2026-02-03
Jindal Stainless Ltd.,Metals & Mining,JSL,EQ,INE220G01021,NIFTYLARGEMIDCAP250,2026-02-03
Jindal Steel Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030,NIFTYLARGEMIDCAP250,2026-02-03
Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017,NIFTYLARGEMIDCAP250,2026-02-03
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020,NIFTYLARGEMIDCAP250,2026-02-03
K.P.R. Mill Ltd.,Textiles,KPRMILL,EQ,INE930H01031,NIFTYLARGEMIDCAP250,2026-02-03
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027,NIFTYLARGEMIDCAP250,2026-02-03
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011,NIFTYLARGEMIDCAP250,2026-02-03
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014,NIFTYLARGEMIDCAP250,2026-02-03
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01036,NIFTYLARGEMIDCAP250,2026-02-03
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015,NIFTYLARGEMIDCAP250,2026-02-03
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017,NIFTYLARGEMIDCAP250,2026-02-03
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026,NIFTYLARGEMIDCAP250,2026-02-03
LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019,NIFTYLARGEMIDCAP250,2026-02-03
